id,label,definition
ก๗_3,งดงาม; งามแงะ (ไม่ทางการ),งาม [ใช้เฉพาะ] เช่น หน้าตางดงาม
ก๗_4,สวย,"งาม [มักใช้แก่รูปลักษณ์] เช่น ตาสวย มีหลายแบบ เช่น สวยซึ้ง, สวยพริ้ง, สวยสะดุดตา, สวยสะอาง, สวยหยดย้อย, สวยหยาดเยิ้ม"
ก๗_5,สะสวย,"งาม [มักใช้แก่รูปลักษณ์หน้าตา] เช่น ไม่ใช่คนสะสวย, หน้าตาสะสวย"
ก๗_6,"เช้ง, เช้งกระเด๊ะ, เช้งวับ (ปาก)",สวยมากด้วยการเสริมแต่ง
ก๗_7,"ไฉไล, สะคราญ, สะอาง, สำอาง, โสภา (กวี)","งาม เช่น ปลายคางบางไฉไล, ร่างสะคราญ, สาวสะอางโฉม, สาวสำอาง, สาวโสภา"
ก๗_8,น่ารัก,ชวนให้รักชอบ
ก๗_9,น่าเอ็นดู,ชวนให้เอ็นดู
ก๗_10,น่าเกลียดน่าชัง,น่ารักน่าเอ็นดู [ใช้แก่เด็กเล็กๆ ]
ก๗_11,หล่อ; หล่อเหลา (ไม่ทางการ),งาม [ใช้แก่ผู้ชาย]
ก๗_12,สมาร์ท (ไม่ทางการ),งามคล่องแคล่ว
ก๗_13,เก๋; เท่ (ปาก),งามเข้าที
ก๗_14,พริ้ง,งามจับตา เช่น อายุมากแล้วแต่ยังพริ้ง
ก๗_15,ขี้ริ้ว; ขี้ริ้วขี้เหร่ (ไม่ทางการ),"ไม่งาม เช่น ชายขี้ริ้ว, ถึงจะขี้ริ้วขี้เหร่แต่น้ำใจดี"
ก๗_16,ขี้เหร่,ไม่งาม [มักใช้แก่ผู้หญิง] เช่น ผู้หญิงขี้เหร่
ก๗_17,น่าเกลียด,"ไม่น่าดู เช่น อ้วนจนน่าเกลียด, แต่งตัวน่าเกลียด"
ก๗_18,อัปลักษณ์,ไม่งาม
ก๗_19,ทุรลักษณ์ (เขียน),มีลักษณะไม่ดี
ก๗_20,บุรุษโทษ,ลักษณะชั่วของคน เช่น ชูชกมีบุรุษโทษ ๑๘ ประการ
ก๑๐,ความเปลี่ยนแปลงของรูปกาย,
ก๑๐_1,เสียโฉม,มีตำหนิที่ใบหน้า ทำให้ความงามลดลงไป
ก๑๐_2,ถอดรูป,เปลี่ยนเป็นผู้มีรูปร่างหน้าตาดี
ก๑๐_3,"ผิดรูป, ผิดรูปผิดร่าง",เปลี่ยนไปจนเสียรูปเดิม
ก๑๑,กำลังกาย,
ก๑๑_1,แรง,"พลังงานทีทำให้มนุษย์เข้มแข็ง เช่น ทำงานใช้แรง, นอนเอาแรง, ออกแรงยกตู้, นั่งลงอย่างอ่อนแรง; อนุโลมใช้หมายถึงระดับความเข้มแข็งของสิ่งอื่น เช่น ทำบุญด้วยแรงศรัทธา"
ก๑๑_2,กำลัง,"แรง [มักใช้ในสำนวนเฉพาะ] เช่น ออกกำลังทุกวัน, เป็นกำลังสำคัญของหน่วยงาน, ทำงานควรประมาณกำลัง, กำลังถดถอย"
ก๑๑_3,พลัง,"กำลังของสิ่งต่างๆ เช่น พลังความร้อน, พลังจิต, พลังความสามารถ"
ก๑๑_4,"เรี่ยวแรง, กำลังวังชา","แรงกาย เช่น รู้สึกสิ้นเรี่ยวแรง, กำลังวังชายังดี"
ก๑๑_5,พละกำลัง,แรงกายที่มีมาก เช่น ชายหนุ่มมีพละกำลังมหาศาล
ก๑๑_6,น้ำพักน้ำแรง,แรงกำลังของตนที่อุตสาหะทำงาน เช่น หามาด้วยน้ำพักน้ำแรง
ก๑๒,ความแข็งแรงและอ่อนแอ,
ก๑๒_1,แข็งแรง,มีกำลังมาก เช่น ผู้ชายมักแข็งแรงกว่าผู้หญิง; สุขภาพดี เช่น คุณป้าอายุมากแล้วแต่ยังแข็งแรง
ก๑๒_2,กระชุ่มกระชวย,มีผิวพรรณสดใสและแข็งแรง ดูกระปรี้กระเปร่า
ก๑๒_3,"อ่อนแอ; ทรพล, ทุพพล, ทุรพล (กวี)",มีกำลังน้อย เช่น อย่ารังแกคนอ่อนแอ
ก๑๒_4,ป้อแป้,ดูความหมายใน ค ๔
ก๑๒_5,ทุพพลภาพ,หย่อนกำลังความสามารถที่จะประกอบการงานตามปรกติ
ก๒๐,-  ก ๑๑๑ ส่วนของกาย,
ก๒๐_1,เซลล์,หน่วยชีวิตที่เล็กที่สุด
ก๒๐_2,เนื้อเยื่อ,กลุ่มของเซลล์ซึ่งรวมกันเป็นหน่วยหนึ่ง มีลักษณะเหมือนกันทำหน้าที่ร่วมกัน
ก๒๐_3,โครโมโซม,ส่วนหนึ่งของนิวเคลียสของเซลล์ ทำหน้าที่สำคัญในการถ่ายทอดลักษณะทางพันธุกรรมทั้งควบคุมการทำงานของเซลล์และการแบ่งเซลล์
ก๒๑,– ก ๘๗ ส่วนประกอบจากหัวถึงเท้า,
ก๕๔,ส่วนหัวและหน้า,
ก๕๔_1,พระเจ้า,หัว [ใช้แก่กษัตริย์]
ก๕๔_2,เศียร,หัว [ใช้แก่สิ่งศักดิ์สิทธิ์ เทวดา นางฟ้า นาค ฯลฯ] เช่น เศียรพระพุทธรูป
ก๕๔_3,"กระหม่อม, ขม่อม",ส่วนสูงสุดตอนกลางหัว เช่น เด็กที่เกิดใหม่ๆ ขม่อมบาง
ก๕๔_4,ท้ายทอย; กำดัน (โบ),ส่วนสุดของกะโหลกด้านหลัง เช่น ถูกตีที่ท้ายทอย
ก๒๒,ลักษณะหัวที่สัมพันธ์กับปริมาณเส้นผม,
ก๒๒_1,หัวฉอก,ผมแหว่งเข้าไปจากหน้าผากเห็นเป็นง่าม
ก๒๒_2,หัวล้าน,ผมเหลือน้อย
ก๒๒_3,หัวโล้น,โกนผมไปหมด
ก๒๒_4,"หัวเหน่ง, หัวเหม่ง",หัวล้านเกลี้ยงเป็นมัน
ก๒๒_5,หัวเกลี้ยง,ไม่มีผม
ก๒๒_6,หัวโกร๋น,ผมร่วงเกือบหมด
ก๒๓,รูปหัว,
ก๒๓_1,หัวทุย,กะโหลกส่วนท้ายทอยยื่นออกทำให้หัวเป็นรูปกลมรี
ก๒๓_2,หัวหนุ่ย,กะโหลกส่วนหน้าผากหรือส่วนท้ายทอยยื่นออก
ก๒๓_3,หัวหลิม,หัวแหลมเล็กผิดส่วน
ก๒๔_1,หน้า; พระพักตร์ (ราชา); พักตร์ (กวี),ส่วนของศรีษะตั้งแต่หน้าผากลงมาจดคาง [ล.ว่า หน้า]
ก๒๔_2,"ใบหน้า, หน้าตา","หน้า [ใช้เฉพาะ] เช่น รับกับใบหน้า, หน้าตาดี"
ก๒๔_3,ดวงหน้า; ดวงพักตร์ (กวี),หน้า [มักใช้เมื่อบรรยายลักษณะหน้า] เช่น มองทั่วดวงพักตร์อย่างหลงใหล
ก๒๔_4,วงหน้า; วงพักตร์ (กวี),กรอบของหน้า เช่น วงพักตร์ดังพระจันทร์วันเพ็ญ
ก๒๔_5,เค้าหน้า,ลักษณะใบหน้าที่คล้ายคลึง เช่น เค้าหน้าคล้ายแม่
ก๒๔_6,โฉมหน้า,หน้าที่ปรากฏ เช่น เผยโฉมหน้า
ก๒๔_7,สีหน้า,ลักษณะใบหน้าที่แสดงความรู้สึก เช่น สีหน้าไม่ดี
ก๒๔_8,"หน้าผาก; พระนลาฏ (ราชา); นลาฏ, ลลาส (กวี)",ส่วนเบื้องบนของเขาอยู่เหนือคิ้วขึ้นไป
ก๒๔_9,"แสกหน้า, หน้าแง",ส่วนหน้าผากระหว่างคิ้ว
ก๒๔_10,ขมับ,บริเวณที่สุดหางคิ้วที่เป็นรอยยุบลงไป [ล.ว่า ข้าง]
ก๒๔_11,ทัดดอกไม้,บริเวณระหว่างหูกับขมับ [ล.ว่า ข้าง]
ก๒๕,ลักษณะหน้า,
ก๒๕_1,"หน้าตาเกลี้ยงเกลา, เข้าที, คมขำ, คมคาย, งดงาม, จิ้มลิ้ม, ดี, พริ้ม, เพรา, สวย, หมดจด; พอไปวัดไปวาได้ (สำ)",น่าดู [ใช้แก่หน้าตาผู้หญิง]
ก๒๕_2,"หน้าตาเข้าที, คมคาย, คมสัน, ดี, หล่อ, หล่อเหลา",น่าดู [ใช้แก่หน้าตาผู้ชาย]
ก๒๕_3,"หน้าตาเกลี้ยงๆ, เรียบๆ",ไม่สะดุดตา [ใช้แก่หน้าตาผู้หญิง]
ก๒๕_4,"หน้าแฉล้ม, งามแอร่ม",น่าดู [ใช้แก้หน้าผู้หญิง]
ก๒๕_5,"หน้าตาขี้ริ้ว, ขี้เหร่, น่าเกลียด, อัปลักษณ์",ไม่น่าดู
ก๒๕_6,หน้าหวาน,งามชื่นตา
ก๒๕_7,หน้าคม,งามสะดุดตา
ก๒๕_8,หน้าเข้ม,มีขนคิ้วขนตาดกหนาและสีเข้ม
ก๒๕_9,หน้าจืด,หน้าไม่เข้ม
ก๒๕_10,หน้ายิ้ม,หน้ามีลักษณะเหมือนกับยิ้มอยู่เสมอ
ก๒๕_11,"หน้าอิ่ม, อูม",หน้ามีเนื้อเต็มดูแช่มชื่น
ก๒๕_12,"หน้าบ้องแบ๊ว, หน้าตาบ้องแบ๊ว",หน้าดูแปลกและน่าขัน
ก๒๕_13,หน้าหัก,หน้าซึ่งดั้งจมูกหักเข้าไป
ก๒๕_14,หน้าไม่รับแขก,หน้าที่แสดงว่าอารมณ์ไม่ดีอยู่เป็นนิจ ทำให้ผู้อื่นไม่อยากติดต่อด้วย เช่น ลักษณะเป็นคนอาภัพ หน้าไม่รับแขก
ก๒๖,รูปหน้า,
ก๒๖_1,"หน้ากลม, กาง, แบน, มน, ยาว, รูปไข่, รูปหัวใจ, ลีบ, เหลี่ยม, แหลม",ดูความหมายใน ท ๑๘๐-ท ๑๘๘
ก๒๖_2,หน้าเสี้ยม,หน้าแหลม
ก๒๖_3,หน้ากล้อ,หน้ากลม
ก๒๗,ผิวหน้า,
ก๒๗_1,"หน้ากร้าน, นวล, ย่น, เหี่ยว, แห้ง",ดูความหมายใน ท๑๘๓-ท ๒๕๐
ก๒๗_2,หน้าผ่อง,หน้าขาวเกลี้ยงดูสวย
ก๒๗_3,หน้าใส,หน้าดูสดใสอ่อนวัย เช่น หน้าใสดูมีความสุข
ก๒๗_4,"หน้าข้าวตัง, หน้ามอด",หน้าซึ่งมีรอยปรุซึ่งมักเกิดจากฝีดาษ
ก๒๗_5,หน้าตกกระ,หน้าที่มีลักษณะเป็นจุดสีคล้ำๆ
ก๒๗_6,หน้าเป็นฝ้า,หน้าที่มีรอยผื่นหรือจุดสีคล้ำๆ
ก๒๘,ความแดงของหน้า,
ก๒๘_1,"หน้าแดงก่ำ, แดงซ่าน, แดงปลั่ง, แดงเรื่อ",หน้าแดงในลักษณะต่างๆ
ก๒๘_2,"หน้าซีดเซียว, เซียว",หน้าไม่ค่อยมีสีเลือด
ก๒๘_3,หน้าซีด,หน้าไม่มีสีเลือด
ก๒๘_4,หน้าอมเลือดอมฝาด,หน้ามีสายเลือดเห็นสีแดงเรื่อเพราะสุขภาพดี
ก๒๙,หน้าแสดงนิสัย,
ก๒๙_1,"หน้าขี้โกง, ซื่อ, ซื่อๆ , ดุ, เหี้ยม, เอาเรื่อง","หน้าที่แสดงนิสัยขี้โกง ซื่อ, ดุ, เหี้ยม, เอาเรื่อง"
ก๒๙_2,หน้าเป็น,หน้าที่แสดงความเบิกบานหัวเราะง่าย
ก๓๐,หน้าแสดงความรู้สึก,
ก๓๐_1,"หน้าตาแจ่มใส, ชื่นบาน, เบิกบาน, เปล่งปลั่ง, ผ่องแผ้ว, ผ่องใส, สดชื่น, อิ่มเอิบ",หน้าตาที่แสดงความสุข
ก๓๐_2,หน้าระรื่น,หน้าที่แสดงความร่าเริง
ก๓๐_3,"หน้าตาเศร้าหมอง, หดหู่, หม่นหมอง, หมองคล้ำ, หมองไหม้, เหี่ยวแห้ง",หน้าตาที่แสดงความไม่เป็นสุข
ก๓๐_4,หน้าเหี่ยว,หน้าที่แสดงว่าเหนื่อยหรือมีความทุกข์
ก๓๐_5,หน้าเศร้า,หน้าที่แสดงความเศร้า
ก๓๐_6,หน้าละห้อย,หน้าที่แสดงความเศร้าชวนให้สงสาร
ก๓๐_7,"หน้าจ๋อย, เปลี่ยนสี, เผือด, ม่อย, สลด, เสีย",หน้าที่แสดงความเสียใจ
ก๓๐_8,"หน้าขึง, คว่ำ, งอ, เง้า, ตูบ, ตูม, ตึง, บูด, บึ้ง, บูดบึ้ง, มุ่ย; บอกบุญไม่รับ (สำ)",หน้าที่แสดงความโกรธ
ก๓๐_9,"หน้าตาขมึงทึง, หน้าตาถมึงทึง",หน้าตาที่แสดงความโกรธพร้อมที่จะทำร้าย
ก๓๐_10,หน้าตาเหี้ยมเกรียม,หน้าตาที่แสดงว่าพร้อมจะทำร้าย
ก๓๐_11,หน้าชื่น,หน้าที่แสดงความชื่นบานหรือชื่นใจ
ก๓๐_12,หน้าบาน,หน้าที่แสดงความยินดี
ก๓๐_13,หน้าหุบ,หน้าที่แสดงว่าหมดความยินดี
ก๓๐_14,"หน้ากะเรี่ยกะราด, เก้อ, เจี๋ยมเจี้ยม, เจื่อน, ชา, ม้าน",หน้าที่แสดงความอาย
ก๓๐_15,หน้าถอดสี (สำ),หน้าซีดแสดงความกลัว
ก๓๐_16,หน้าตื่น,หน้าที่แสดงความตกใจ
ก๓๐_17,หน้าขึงขัง,หน้าที่แสดงว่าเอาจริง
ก๓๐_18,"หน้าเป๋อเหลอ, เหลอหลา, เหลอ",หน้าที่แสดงว่างง
ก๓๐_19,"หน้าตาบูดเบี้ยว, เหยเก",หน้าที่แสดงความเจ็บปวด
ก๓๐_20,หน้าเบ้,หน้าที่แสดงความเจ็บปวด ไม่ชอบใจ หรือไม่เห็นด้วย
ก๓๐_21,หน้าตาย,หน้าที่ไม่แสดงความรู้สึก
ก๓๐_22,หน้าทะเล้น,หน้ายิ้มอย่างจะล้อเลียน
ก๓๑,ลักษณะหน้าผาก,
ก๓๑_1,"หน้าผากกว้าง, แคบ, นูน, ย่น",ดูความหมายใน ท ๑๘๑-ท ๑๙๕
ก๓๑_2,หน้าผากโหนก,หน้าผากนูนยื่นออกมา
ก๓๑_3,หน้างอก,หน้าผากที่ยื่นง้ำกว่าปรกติ
ก๓๑_4,หน้าผากเล็ก,หน้าผากที่ผมถอยร่นขึ้นไปเหนือหน้าผากมาก มักใช้ว่าหัวเถิก
ก๓๒,ตา,
ก๓๒_1,"ดวงตา, ตา, นัยน์ตา; หูตา (ไม่ทางการ); พระจักษุ, พระนัยนะ, พระเนตร (ราชา), จักษุ, นยนะ, นัยนา, เนตร, โลจนะ, อักข์ (กวี)",อวัยวะสำหรับใช้ดู [ล.สำหรับดวงตาว่า ดวง; สำหรับตาว่า ตา; สำหรับนัยน์ตาว่า ข้าง]
ก๓๒_2,"ลูกตา, ลูกนัยน์ตา",ส่วนของตาที่มีลักษณะเป็นลูกกลม
ก๓๒_3,"แก้วตา; พระกนีนิกา, พระเนตรดารา (ราชา)",ส่วนของตาที่ทำหน้าที่ให้แสงผ่านและรวมแสงเพื่อให้เห้นชัด
ก๓๒_4,"กระบอกตา, เบ้าตา",ส่วนของตาที่ลูกตาส่วนใหญ่ฝังอยู่ [ล.สำหรับกระบอกตาว่า ข้าง; สำหรับเบ้าตาว่า เบ้า]
ก๓๒_5,กระจกตา,ลูกตาส่วนหน้า มีลักษณะใส
ก๓๒_6,ม่านตา; ม่านพระเนตร (ราชา),ส่วนของตาทำหน้าที่กันแสงสว่างให้เข้าตามากน้อยตามต้องการ
ก๓๒_7,"ตาขาว; ดวงพระเนตรขาว, พระเนตรขาว (ราชา)",ส่วนของตาที่มีสีขาว
ก๓๒_8,"ตาดำ; ดวงพระเนตรดำ, พระเนตรดำ",ส่วนของตาที่มีสีดำ
ก๓๒_9,"หนังตา; หนังพระเนตร, หลังพระเนตร (ราชา)",ส่วนที่หุ้มลูกตามีกล้ามเนื้อสำหรับเปิดปิดได้
ก๓๒_10,เปลือกตา;,ส่วนนอกของหนังตา
ก๓๒_11,ขอบตา; ขอบพระเนตร (ราชา),ขอบของเปลือกตา
ก๓๒_12,แววตา; แววพระเนตร (ราชา),สิ่งที่เป็นเยื่อบาง มีลักษณะใสเป็นแสงวาวดั่งแก้วหุ้มด้านนอกของดวงตา
ก๓๒_13,หัวตา,ส่วนต้นของตา
ก๓๒_14,หางตา,ส่วนปลายของตา
ก๓๒_15,บ่อน้ำตา,ส่วนที่ขังน้ำตา [ล.ว่า บ่อ] เช่น บ่อน้ำตาตื้น
ก๓๒_16,จุดบอด,บริเวหลังลูกตาที่ไม่รับแสง
ก๓๒_17,ต่อมน้ำตา; ต่อมพระเนตร (ราชา),ต่อมที่อยู่ทางหางตาด้านบน มีหน้าที่ผลิตน้ำตามาหล่อเลี้ยงลูกตา
ก๓๒_18,เยื่อบุตาขาว,เยื่อบางๆ คลุมลูกตา มีหน้าที่ผลิตน้ำตาและไขมันมาเคลือบตา
ก๓๒_19,ถุงน้ำตา,ส่วนของตาซึ่งอยู่ข้างจมูก รับน้ำตาที่หล่อเลี้ยงลูกตาแล้วไหลผ่านท่อน้ำตาไปลงจมูกและคอ
ก๓๓,ลักษณะตา,
ก๓๓_1,"ตากลม, กลวงโบ๋, เฉียง, โบ๋, โปน, พอง, ลึก","ดูความหมายใน ท ๑๔๕-ท ๑๙๒, ท ๒๔๖"
ก๓๓_2,"ตาตี่, ยิบหยี, หยี",ช่องระหว่างหนังตาบนและล่างแคบมากยามลืมตา
ก๓๓_3,"ตาลึกโหล, โหล",ตาดูลึกเพราะขาดอาหารหรืออดนอนเป็นต้น
ก๓๓_4,ตาถลน,ตาโปนจากเบ้าตา
ก๓๓_5,ตาปรือ,หนังตาบนย้อยต่ำมาก
ก๓๓_6,ตาห้อย,หนังตาล่างย้อยต่ำ
ก๓๓_7,ตาหวาน,ตางามชวนดู
ก๓๓_8,ตาโศก,ตาดูเศร้า
ก๓๓_9,ตาดุ,ตาดูว่าเป็นคนดุ น่าเกรงขาม
ก๓๓_10,"ตาแป๋ว, ใส",ตาดูแวววาว
ก๓๓_11,ตาสุกใส,ตาใสและเป็นประกาย
ก๓๓_12,ตาคม,ตาดำและขนตาสีเข้ม และมีประกายกล้า
ก๓๓_13,ตาซึ้ง,ตาดูลึกและเป็นประกาย
ก๓๓_14,ตาแฉะ,ตามีน้ำตามากเกินไป
