id,label,definition
ง ๑๗,การทำให้มือเคลื่อนเข้าหรือออก,หดมือ		ทำให้มือเคลื่อนเข้ามา
ง ๑๘,การทำให้มือเคลื่อไหวเร็วและแรง,สะบัดมือ	ทำให้มือเคลื่อนไหวเร็วและแรง เช่น สะบัดมือเร่าๆ ด้วยความเจ็บปวด
ง ๑๙,การทำให้มือเคลื่อนไหวเป็นสัญญาณ,กวักมือ		กระดกปลายนิ้วเข้าหาฝ่ามือเป็นสัญญาณให้เข้ามาหา เช่น กวัวกมือเรียก
ง ๒๐,การงอและเหยียดนิ้วมือ,กำมือ		งอนิ้วมือเข้าจดอุ้งมือด้วเหตุผลต่างๆ กัน เช่น กำมือแน่นด้วยความเจ็บปวด
ง ๒๑,การสัมผัสด้วยมือ,"กำ, ขยำ, ขยี้, คลำ, คว้า, ควาน, เค้น, จับ, ตะครุบ, ตะปบ, แตะ, แตะต้อง, เท้า, บีบ, รูด, ยัน	ดูความหมายใน ย  ๒๔, ร ๕๑, ร ๑๑๓"
ง ๒๒,ลักษณะการใช้มือ,มันมือ		ใช้มืออย่างสนุก เช่น เขียนอย่างมันมือ
ง ๒๓,ลักษณะบุคคลเกี่ยวกับการใช้มือ,มือเบา		ทำได้ละมุนละไม เช่น หมอมือเบา ฉีดยาไม่เจ็บ
ง ๒๔,กิริยาที่ใช้เท้า,"กระทืบ, เตะ, ถีบ, ย่ำ, เหยียบ	ดูความหมายใน ย ๒๕"
ง ๒๕,กิริยาที่ใช้เล็บ,เกา	ใช้เล็บครูดผิวหนังเพื่อให้หายคัน
ง ๒๖,กิริยาที่เกี่ยวกับทวารหนัก,"กระหมิบ, ขมิบ		ทำปากช่องทวารหนักทวารเบาให้เม้มอยู่"
ง ๒๗, ง ๒๘ กิริยาที่เกี่ยวกับลมในร่างกาย,ง ๒๗ การสูดลมและระบายลม
ง ๙๐,,หาว		อ้าปากระบายลมเมื่อเวลาง่วงนอนเป็นต้น เช่น หาวหวอด
ง ๒๘,การสูดลมและระบายลมโดยไม่อาจควบคุมได้หรือควบคุมได้ยาก,"หอบ		หายใจถึ่ด้วยความเหนื่อยหรืออ่อนเพลียเป็นต้น เช่น หอบซี่โครงรวน, หอบฮัก, หอบแฮกๆ"
ง ๒๙,กิริยาที่เกี่ยวกับการขับโลหิต,"กระอัก, กระอักเลือด, กระอักโลหิต	โลหิตพุ่งออกจากปากโดยแรง"
ง ๓๐,กิริยาที่ทำให้อาหารเป็นต้นออกจากปาก,"ขย้อน, ขาก, คาย, คายแก้ว, ถ่ม, ถุย, บ้วน, แหวะ, อาเจียน		ดูความหมายใน ฉ ๒๕"
ง ๓๑,กิริยาที่เกี่ยวกับการขับถ่ายของเสีย,ขับถ่าย		ระบายสิ่งที่ไม่ต้องการออกจากร่างกาย
ง ๓๒,กิริยาที่เกี่ยวกับการไม่ให้ลมหรือของเสียออกจากร่างกาย,กลั้น		บังคับความรู้สึกหรือสิ่งที่อยู่ภายในร่างกายไม่ให้แสดงออกหรือหลุดออกมา เช่น กลั้นปัสสาวะ
ง ๔๐, ง ๔๓ อิริยาบถต่างๆ,ง ๔๐ การยืน
ง ๔๑,การเดิน,ดูคำและความหมายใน ฉ ๘๓
ง ๔๒,การนั่ง,นั่ง; ประทับ (ราชา)	อาการที่ก้นอยู่บนที่รองรับหรืออยู่เกือบติดพื้น
ง ๔๓,การนอน,"นอน; ทรงพระบรรทม (ราชา:กษัตริย์), บรรทม (ราชา:เจ้านาย); บรรทม, ประทม, ผทม, ไสยา, ไสยาสน์ (กวี)	ทอดกายอยู่"
ง ๔๔,การนอนเจ็บอยู่กับที่,นอนแซ่ว	นอนอยู่กับที่เคลื่อนไหวไม่ได้ เช่น เป็นอัมพาตนอนแซ่ว
ง ๔๕,การลุกและการเขย่ง,"ลุก; อฏฐาการ (เขียน, กวี)	เคลื่อนขึ้นจากท่านั่งหรือนอน เช่นพระปัจวัคคีย์ภิกษุก็อุฏฐาการออกมาต้อนรับ"
ง ๔๖,การโหน,โหน		เอามือเหนี่ยวสิ่งที่สูงเหนือศีรษะให้ตัวลอยขึ้นไปหรือให้ทรงตัวอยู่ได้
ง ๔๗,การทรงตัว,ทรงตัว		ตั้งกายไว้ไม่ล้มลง เช่น การทรงตัวไม่ดี
ง ๔๘,การบิดตัวและม้วนตัว,บิดตัว		ทำให้ตัวบิดไป เช่น บิดตัวอย่างเจ็บปวด
ง ๔๙,การลดตัวลง,"เอนกาย, เอนตัว		เอียงตัวลงกับพื้น เช่น เอนกายลงนอน"
ง ๕๐,การลดตัวลงและก้มหลัง,ยอบ		ย่อตัวและก้มหลังเพื่อแสดงความอ่อนน้อม
ง ๕๑,การล้ม,"ล้ม, ล้มระเนระนาด	ดูความหมายใน ท ๒๖๖"
ง ๕๒,การโค้งตัวลง,โน้ม		โค้งตัวลง เช่น โน้มตัวลงพูดกับเด็ก
ง ๕๓,การเต้น,เต้น		อาการที่ยืนอยู่แล้วยกเท้าขึ้นๆ ลงๆ อย่างรวดเร็ว
ง ๖๐, ง ๖๔ การเคลื่อนไหวร่างกาย,ง ๖๐ การเคลื่อนไหวเล็กน้อย
ง ๖๑,การเคลื่อนไหวโดยแรง,ดิ้น		เคลื่อนไหวโดยแรงเพื่อให้หลุดออกเป็นต้น เช่น ดิ้นสุดฤทธิ์
ง ๖๒,การเคลื่อนไหวถี่ๆ,"สั่น		เคลื่อนไหวถี่ๆ มีหลายลักษณะ เช่น ตัวสั่นเป็นเจ้าเข้า, ตัวสั่นเทาด้วยความกลัว, ตัวสั่นเทิ้มด้วยความโกรธ, ตัวสั่นเป็นลูกนก, ยืนขาสั่นพั่บๆ ด้วยความกลัว, สั่นดกๆ ด้วยความหนาว, สั่นเป็นเสาโพงพาง, มือสั่นระริกเจียนจะหมดกำลัง, นางร้องหวีดสั่นสะท้าน"
ง ๖๓,การเคลื่อนไหวไปมา,โงกเงก		โอนเอนไปมาเพราะง่วงนอนเป็นต้น เช่น นั่งโงกเงกไปในรถ
ง ๖๔,การไม่เคลื่อนไหว,นิ่ง		ไม่เคลื่อนไหว
ง ๖๕,ลักษณะบุคคลที่เกี่ยวกับการเคลื่อนไหว,"คล่อง, คล่องแคล่ว, แคล่วคล่องว่องไว	เคลื่อนไหวเรื่อยไปไม่ติดขัด เช่น เด็กคนนี้คล่องมาก, เขาชอบคนคล่องแคล่ว"
ง ๗๐, ง ๙๑ กิริยาที่แสดงความรู้สึก,ง ๗๐ การเปล่งเสียงแสดงความรู้สึกต่างๆ
ง ๗๑, ง ๗๓ กิริยาที่แสดงความยินดีเป็นต้น,ง ๗๑ การยิ้ม
ง ๗๒,การหัวเราะ,"หัวเราะ; หัวร่อ (ไม่ทางการ); ทรงพระสรวล (ราชา); สรวล, สำรวล (กวี)		อาการที่เปล่งเสียงออกมาเมื่อรู้สึกขบขัน ดีใจ หรือรื่นเริง"
ง ๗๓,การตีปีกและตบมือ,ตีปีก		แสดงความดีใจโดยงอข้อศอกแล้วเอาต้นแขนตีสีข้างอย่างไก่ตีปีก
ง ๑๕,,ง ๘๐ 
ง ๘๒,กิริยาที่แสดงความเสียใจ,ง ๘๐ การร้องไห้
ง ๘๑,การสะอื้น,"ถอนสะอื้น, สะอื้น	ถอนใจสะท้อนเป็นระยะๆ มักเป็นอาการร่วมกับร้องไห้ เช่น ก้มหน้าสะอื้น"
ง ๘๒,การตีอกชกหัวเป็นต้น,ตีอกชกหัว	ทุบตีตนเองเป็นต้น ด้วยความเสียใจ
ง ๙๐,กิริยาที่แสดงความรู้สึกโล่งใจหรือกลุ้มใจเป็นต้น,"ถอนใจ, ถอนหายใจ	หายใจออกอย่างแรงเมื่อรู้สึกกลุ้มใจหรือโล่งใจเป็นต้น"
ง ๙๑,กิริยาที่แสดงความโกรธ,"เล่นงิ้ว, ออกโขน, ออกงิ้ว (สำ)		ทำท่าทางและส่งเสียงดังแสดงความโกรธ เช่น ไม่กล้ากลับดึก กลัวเมียจะออกงิ้ว"
ง ๑๐๐,การไม่แสดงความรู้สึก,เฉย		ไม่แสดงความรู้สึก เช่น เขาเฉยไม่ตอบโต้
ง ๑๐๑,การบังคับอารมณ์ความรู้สึก,กลั้น		บังคับความรู้สึกหรือสิ่งที่อยู่ภายในร่างกายไม่ให้แสดงออก
ง ๑๐๒,การกลบเกลื่อนความรู้สึก,แก้เก้อ		พูดหรือทำเพื่อกลบเกลื่อนความเก้อ เช่น ถามแก้เก้อว่ากลับมาเอาของที่ลืมไว้หรือ
ง ๑๐๓,การทำท่า,ทำท่า		แสดงให้เห็นว่าจะทำกิริยาอย่างหนึ่ง อาจจะทำจริงหรือไม่ก็ได้ เช่น ทำท่าจะชกเพื่อน
ง ๑๐๔,การทำท่าว่ายิ่งใหญ่,"ทำผึ่ง, วางท่า, วางปุ่ม, วางผึ่ง; เก๊ก, เก๊กท่า, จุ๊ย, เต๊ะ, เต๊ะจุ๊ย, เต๊ะท่า, แอ๊ก, แอ๊กอ๊าด (ปาก)	แสดงท่าผึ่งผาย เพราะ คิดว่าตนมีฐานะสูงกว่าผู้อื่น เช่น นั่งวางท่าไม่พูดจากับใคร"
ง ๑๐๕,ลักษณะบุคคลที่เกี่ยวกับการทำกิริยา,เจ้าน้ำตา		ร้องไห้ง่าน ชเน เธอนี่เจ้าน้ำตาฉันยังไม่ได้ว่าอะไรก็ร้องไห้แล้ว
ง ๑๒๑,อาการ,ง ๑๑๐ อาการที่แสดงว่าตกใจหรือกลัว
ง ๑๑๑,อาการที่แสดงว่าโกรธหรือขุ่นเคือง,เป็นฟืนเป็นไฟ		แสดงความโกรธขึ้นมาทันที เช่น พูดผิดหูหน่อยก็เป็นฟืนเป็นไฟ
ง ๑๑๒,อาการที่แสดงว่าสบายใจ,"ร่าเริง, รื่นเริง, เริงร่า, เริงรื่น	ไม่มีความเศร้าหมอง เช่น ร่าเริงอยู่กับเพื่อนๆ, หัวเราะอย่างรื่นเริง"
ง ๑๑๓,อาการที่แสดงว่าไม่สบายกายหรือไม่สบายใจ,ซึม		ไม่กะปรี้กะเปร่า [มักเป็นเพราะมีเรื่องให้คิดมากหรือไม่สบาย] เช่น พอรู้ผลสอบเขาก็ซึมไปเลย
ง ๑๑๔,อาการที่แสดงว่าผิดหวัง,คอตก		หัวงุบลงมาแสดงอาการผิดหวัง
ง ๑๑๕,อาการที่แสดงว่าถือตัว,คอแข็ง		คอตั้งตรงแสดงอาการถือตัว
ง ๑๑๖,อาการที่แสดงว่าตัดสินใจไม่ได้,ละล้าละลัง		จะต้องไปแต่ยังไปไม่ได้เพราะห่วงของเป็นต้น เช่น ละล้าละลังเก็บของ
ง ๑๑๗,อาการที่แสดงว่าอยากจะกระทำหรือไม่,กระตือรือร้น		มีอาการที่แสดงว่ากระทำด้วยความสนใจ เช่น ฟังเรื่องที่พ่อเล่าอย่างกระตือรือร้น
ง ๑๑๘,อาการที่แสดงว่ามีความผิด,พิรุธ		มีอาการผิดปรกติ น่าสงสัยว่ามีความผิด
ง ๑๑๙,ผู้มีพิรุธหรือหวาดระแวงเพราะมีความผิด,ตุ๊กแกกินปูนร้องท้อง (สำ)	ผู้ทำอาการมีพิรุธขึ้นเอง
ง ๑๒๐,อาการไม่มีสติชั่วขณะ,ตะลึง		ชะงักงันไปชั่วขณะหนึ่งเพราะคาดไม่ถึง เช่น เขาตะลึงมองตามเธอไปจนลับตา
ง ๑๒๑,อาการที่แสดงว่าง่วง,"ตาจะปิด, ตาปรือ		หนังตาบนย้อยต่ำมาก"
ง ๒๗,,ง ๑๒๒ การหลับ ตื่น และฝัน
ง ๑๓๐, ง ๑๔๐ ท่าทาง,ง ๑๓๐ ลักษณะท่าทาง
ง ๑๓๑,ท่าทางที่ระวังกิริยาและท่าทางน่าดู,สำรวม		ระมัดระวังกายวาจาใจให้สงบเรียบร้อย เช่น นั่งอย่างสำรวม
ง ๑๓๒,ท่าทางที่ไม่ระวังกิริยาและท่าทางไม่น่าดู,หลุกหลิก	อยู่ไม่นิ่ง ไม่สำรวม เช่น เขาดูหลุกหลิกไม่น่าไว้ใจ
ง ๑๓๓,ท่าทางที่ดัดกิริยา,มีจริต; มีจริตจะก้าน (ไม่ทางการ)		มีกิริยาที่ปรุงแต่งให้น่าดู
ง ๑๓๔,ท่าทางน่านับถือ,"สง่า, สง่าผ่าเผย		ดูน่านับถือยำเกรง เช่น ท่าทางสง่า, เดินอย่างสง่าผ่าเผย"
ง ๑๓๕,ท่าทางไม่น่านับถือ,"จ๋อง, จ๋องกรอด (ปาก)		ไม่สง่า ไม่ภูมิฐาน"
ง ๑๓๖,ท่าทางที่แสดงว่าเร่งรีบ,"ลุกลน, ลุกลี้ลุกลน	รีบร้อนจนไม่เรียบร้อย เช่น ดูท่าทางลุกลนมีพิรุธ, ทำท่าลุกลี้ลุกลนจนน่าสงสัย"
ง ๑๑๓,,ง ๑๓๗ ท่าทางที่ไม่รู้ว่าควรทำอย่างไร
ง ๑๓๘,ท่าทางที่แสดงว่าอยากทำร้าย,กระเหี้ยนกระหือรือ	แสดงว่าใคร่จะเข้าทำร้าย เช่น สมุนโจรท่าทางกระเหี้ยนกระหือรือจะเข้าทำร้าย
ง ๑๓๙,ท่าทางที่แสดงว่าไม่อยากติดต่อด้วย,"ชาเย็น, เย็นชา		แสดงว่าไม่ต้องการเป็นมิตร"
ง ๑๔๐,ท่าทางที่แสดงว่าไม่ผูกพันเหมือนเดิม,"ห่างเหิน, เหินห่าง	ไม่สนิทสนมดังเก่า เช่น เขามีท่าห่างเหิน"
ง ๑๔๑,ท่าทางที่แสดงว่าไม่กลัว,องอาจ		แสดงความมั่นใจไม่กลัวเกรง เช่น เผชิญภัยอย่างองอาจ
ง ๑๔๒,ท่าทางที่แสดงว่าอาย,กระมิดกระเมี้ยน		ทำปิดๆ บังๆ ไม่เปิดเผยด้วยความอายหรือไม่แน่ใจ เช่น กระมิดกระเมี้ยนยื่นดอกไม้ให้ครู
